temperature	q	S
430.0	24.297067031068266	0.0613989103083944
440.0	26.785347380628394	0.06298923204978805
450.0	29.52561542753205	0.06456955363635698
460.0	32.54244299036049	0.06613971452418164
470.0	35.86267815817815	0.06769958173821901
480.0	39.51564351536973	0.06924904783190938
490.0	43.53335049586398	0.07078802888584589
500.0	47.950731081323816	0.07231646256490087
510.0	52.805888142086616	0.07383430624879041
520.0	58.14036580911352	0.07534153524719547
530.0	63.99944136025514	0.07683814110722892
540.0	70.43244020507736	0.07832413001821933
550.0	77.49307565964587	0.07979952131642948
560.0	85.239815316384	0.0812643460903927
570.0	93.73627593476232	0.08271864588599331
580.0	103.05164890652743	0.08416247150918205
590.0	113.261158484827	0.08559588192326542
600.0	124.44655511036274	0.08701894323699629
610.0	136.69664632003003	0.08843172777918246
620.0	150.10786788484128	0.08983431325518847
630.0	164.78489799477092	0.09122678198050395
640.0	180.84131748897525	0.0926092201864627
650.0	198.4003193211913	0.09398171739319644
660.0	217.59547065251303	0.09534436584498165
670.0	238.57153117779504	0.09669726000326422
680.0	261.48533151819703	0.09804049609281577
690.0	286.5067157515334	0.09937417169667609
700.0	313.8195524047256	0.10069838539575313
710.0	343.62281849952353	0.10201323644918733
720.0	376.13176152440684	0.1033188245118241
730.0	411.5791445030032	0.1046152493853798
740.0	450.21657964321065	0.1059026108001255
750.0	492.3159563823047	0.10718100822414427
760.0	538.1709699925092	0.1084505406974457
770.0	588.0987572796681	0.10971130668843528
780.0	642.4416462957287	0.11096340397044319
790.0	701.5690273946602	0.11220692951621214
800.0	765.8793533922308	0.11344197940842538
810.0	835.8022770437283	0.11466864876452935
820.0	911.8009345314266	0.11588703167426305
830.0	994.3743841563543	0.11709722114845597
840.0	1084.0602099580776	0.11829930907779253
850.0	1181.4373005428079	0.11949338620036759
860.0	1287.1288139856292	0.12067954207697429
870.0	1401.8053402882083	0.12185786507317078
880.0	1526.1882735204874	0.1230284423472714
890.0	1661.0534064549406	0.12419135984349533
900.0	1807.2347612165477	0.125346702289588
910.0	1965.6286702222035	0.1264945531983032
920.0	2137.198122471518	0.12763499487220026
930.0	2322.9773910785593	0.1287681084112732
940.0	2524.0769588026515	0.1298939737229801
950.0	2741.688759248018	0.13101266953429308
960.0	2977.09175235824	0.13212427340543223
970.0	3231.6578538347553	0.1332288617449864
980.0	3506.8582391603577	0.13432650982616098
990.0	3804.270044011559	0.13541729180392315
1000.0	4125.5834839995405	0.1365012807328457
1010.0	4472.609417890705	0.13757854858547391
1020.0	4847.287379726799	0.13864916627106497
1030.0	5251.694106594061	0.13971320365456877
1040.0	5688.052590182498	0.14077072957573689
1050.0	6158.741681734082	0.14182181186826276
1060.0	6666.306281504101	0.14286651737887154
