CH4	H2O	H2	NH3	Pt
-6.1078754639E-01	-6.8284749476E-01	-1.2337109798E-01	-6.1530796930E-01	-5.9430243366E+01
-9.6477068073E-03	-2.0042865410E-02	7.8040371094E-03	-8.5769131584E-03	-3.5534726120E+00
-1.1550813758E-01	-1.4700225079E-01	-1.7982277115E-02	-1.3037391552E-01	-1.5573735997E+01
4.0927730363E-01	4.7334320193E-01	7.8725722588E-02	4.1918213963E-01	4.2097321351E+01
-1.9840998813E-01	-2.2804144942E-01	-4.3630860417E-02	-1.9465061020E-01	-2.1734464527E+01
-1.3319109499E-01	-1.7701543448E-01	-2.0711429139E-02	-1.5338565271E-01	-2.0233783023E+01
-4.5105782581E-01	-4.9463708977E-01	-9.0642161713E-02	-4.6355608541E-01	-3.4313120504E+01
-9.1639034554E-01	-1.0408393953E+00	-1.8380801166E-01	-9.4578306452E-01	-8.4621035550E+01
-2.8799524523E-01	-4.0344406393E-01	-4.7347504672E-02	-3.3374042965E-01	-4.5870377991E+01
-3.2198640259E-01	-4.3505887620E-01	-6.3259213221E-02	-3.7044627418E-01	-4.6600429964E+01
-3.2493942269E-01	-3.7456449894E-01	-5.4962618845E-02	-3.2017295326E-01	-3.6225272808E+01
5.2691164196E-02	4.1214391860E-02	4.6671479330E-03	2.6695672797E-02	2.1554863641E+00
2.8840528757E-02	2.7365535963E-02	-1.4465107887E-03	2.1288254979E-02	3.9775709311E+00
-5.2378817697E-02	-2.0266800171E-02	-6.5896934969E-03	-3.0110496001E-02	7.7483951887E+00
3.4846386539E-02	4.2021806090E-02	3.3040933190E-03	4.2391957583E-02	2.5704729764E+00
4.3525330867E-01	5.0321382350E-01	8.6709946039E-02	4.3669889907E-01	4.6593713663E+01
-1.7938558397E-01	-2.3244930864E-01	-3.6834282385E-02	-2.2063963273E-01	-2.0515651107E+01
-6.2674407522E-02	-1.4124045927E-01	-4.7749130336E-03	-1.1581970051E-01	-2.2846880677E+01
2.4427263106E-01	2.4133515249E-01	5.9870758524E-02	2.2916116552E-01	1.8832472441E+01
-1.0173048853E+00	-1.1940581691E+00	-1.9853512067E-01	-1.0481771566E+00	-1.1028598119E+02
5.1067168986E-01	5.9978346344E-01	9.2421413836E-02	5.3103210553E-01	5.2547798442E+01
-1.6763667571E-01	-2.1780387072E-01	-3.4913466987E-02	-1.6553856460E-01	-2.8640137472E+01
-6.3142177597E-02	-6.9604512792E-02	-1.3883236511E-02	-7.2921216493E-02	-3.2191607612E+00
-7.7883065248E-02	-1.0533375932E-01	-1.6222002329E-02	-8.3824354186E-02	-1.1258358462E+01
4.6903499939E-02	6.7852036335E-03	1.3925944818E-02	2.2239716707E-02	-8.8994625446E+00
-3.4493868344E-02	-7.8441681411E-02	-5.4668738182E-03	-7.7454569637E-02	-4.5387509984E+00
8.2091795148E-01	9.6205679444E-01	1.7008234158E-01	8.5745075836E-01	8.6615780113E+01
-2.2102481931E-01	-2.0096196321E-01	-3.6362796130E-02	-1.5433465766E-01	-1.8243987648E+01
-6.0135564323E-02	-9.7978201847E-02	-3.2903265107E-03	-9.6123520563E-02	-8.8379722048E+00
