Ea=145.5379739999771	delta_Ea
142.17581424862146	-3.362159751355648
144.8417948037386	-0.6961791962385178
145.69564364105463	0.15766964107751846
157.75439244508743	12.216418445110321
137.8196948170662	-7.718279182910919
142.2951424792409	-3.2428315207362175
141.50901192426682	-4.028962075710297
135.96120734512806	-9.576766654849052
141.97877203673124	-3.5592019632458687
135.5826343819499	-9.95533961802721
136.08110363036394	-9.45687036961317
150.46404086053371	4.9260668605566025
140.3087362498045	-5.229237750172615
150.3970101699233	4.859036169946194
143.21420814096928	-2.3237658590078354
151.89930307865143	6.361329078674316
144.28550244867802	-1.2524715512990952
146.5159241631627	0.9779501631855965
143.03143122792244	-2.5065427720546722
129.76563280820847	-15.772341191768646
156.04859951883554	10.510625518858433
138.7760665640235	-6.761907435953617
143.80750984698534	-1.7304641529917717
140.0996219366789	-5.438352063298225
145.66144855320454	0.12347455322742462
155.51456800103188	9.976594001054764
155.6285262182355	10.090552218258381
137.87201508879662	-7.665958911180496
149.73317444324493	4.195200443267822
144.11604917049408	-1.4219248294830322
153.2933590039611	7.7553850039839745
146.9625051394105	1.424531139433384
145.49049150943756	-0.04748249053955078
147.6594849973917	2.121510997414589
141.8690078780055	-3.668966121971607
148.18065837025642	2.642684370279312
142.92378523945808	-2.6141887605190277
151.1175798997283	5.579605899751186
152.37126967310905	6.833295673131943
136.79343726485968	-8.744536735117435
155.02337814122438	9.485404141247272
147.69149158895016	2.1535175889730453
143.56746660917997	-1.9705073907971382
145.05903847515583	-0.47893552482128143
146.69855779409409	1.1605837941169739
132.22346440702677	-13.314509592950344
147.86741030961275	2.329436309635639
150.95170808583498	5.413734085857868
141.70957947522402	-3.8283945247530937
147.7977401688695	2.2597661688923836
140.07856503874063	-5.459408961236477
142.61599919199944	-2.9219748079776764
147.13245568424463	1.594481684267521
141.6166750639677	-3.921298936009407
148.85907042771578	3.3210964277386665
153.46924824267626	7.931274242699146
156.0722090229392	10.534235022962093
158.333192512393	12.795218512415886
141.7826792895794	-3.7552947103977203
149.56244867295027	4.024474672973156
160.43940436840057	14.901430368423462
143.1907898262143	-2.3471841737627983
134.71126832813025	-10.826705671846867
144.00586383789778	-1.5321101620793343
141.90518275648355	-3.632791243493557
148.9021704569459	3.3641964569687843
138.0133747383952	-7.524599261581898
130.8923159390688	-14.645658060908318
135.71442183852196	-9.823552161455154
137.85530393570662	-7.682670064270496
149.29613742232323	3.758163422346115
148.26415646076202	2.726182460784912
145.2034044712782	-0.3345695286989212
144.35799188166857	-1.1799821183085442
133.43862331658602	-12.099350683391094
141.5411106571555	-3.996863342821598
138.21168579906225	-7.32628820091486
149.0904713049531	3.5524973049759865
137.64536687731743	-7.892607122659683
154.56996081769466	9.031986817717552
141.05544167757034	-4.482532322406769
142.58793561160564	-2.9500383883714676
140.601991340518	-4.935982659459114
145.02978061884642	-0.5081933811306953
148.49820925295353	2.9602352529764175
147.17273821681738	1.6347642168402672
153.91151589900255	8.37354189902544
162.98867662250996	17.450702622532845
142.33709881454706	-3.20087518543005
136.33530993759632	-9.20266406238079
141.91964746266603	-3.618326537311077
162.11082741618156	16.572853416204453
129.25884157419205	-16.279132425785065
150.824717707932	5.286743707954884
146.84618462622166	1.308210626244545
141.0438203290105	-4.494153670966625
144.47603438794613	-1.061939612030983
147.28813123703003	1.7501572370529175
138.4959544762969	-7.04201952368021
153.2853839546442	7.747409954667091
142.25832856446505	-3.279645435512066
139.2354472875595	-6.3025267124176025
154.58871495723724	9.050740957260132
145.14480444043875	-0.3931695595383644
154.06874331831932	8.530769318342209
145.7019743695855	0.16400036960840225
151.9538710936904	6.4158970937132835
153.86923993378878	8.331265933811665
141.9080061763525	-3.629967823624611
150.48369938880205	4.94572538882494
132.55245357751846	-12.985520422458649
143.14207798987627	-2.3958960101008415
137.80978639423847	-7.72818760573864
152.30068297684193	6.762708976864815
147.53858025372028	2.0006062537431717
138.8591814264655	-6.6787925735116005
138.22065945714712	-7.31731454282999
146.4949407055974	0.9569667056202888
138.5428189560771	-6.995155043900013
144.99643225967884	-0.5415417402982712
135.00232388079166	-10.535650119185448
147.86095152795315	2.322977527976036
144.4783664047718	-1.059607595205307
147.64987786859274	2.1119038686156273
141.87786147743464	-3.6601125225424767
150.4095220193267	4.871548019349575
146.67985730618238	1.1418833062052727
145.99881253391504	0.46083853393793106
156.51580636948347	10.977832369506359
160.7244134992361	15.186439499258995
151.9712180197239	6.43324401974678
155.83874643594027	10.300772435963154
143.63892874866724	-1.8990452513098717
147.9291570931673	2.391183093190193
155.84257401525974	10.304600015282631
139.74431285262108	-5.793661147356033
126.80616664886475	-18.731807351112366
133.70238364487886	-11.835590355098248
133.76158773899078	-11.776386260986328
138.2117926478386	-7.326181352138519
150.80248703807592	5.264513038098812
134.23784011602402	-11.300133883953094
135.02797263115644	-10.510001368820667
148.74372851103544	3.2057545110583305
144.66561613231897	-0.8723578676581383
134.16062216460705	-11.377351835370064
154.0725486651063	8.534574665129185
146.02576938271523	0.4877953827381134
134.19545086473227	-11.342523135244846
145.92988285422325	0.3919088542461395
135.35370358079672	-10.184270419180393
150.1772045865655	4.639230586588383
136.56817112118006	-8.969802878797054
144.97560055553913	-0.5623734444379807
128.6102951169014	-16.927678883075714
139.1782405078411	-6.359733492136002
139.49025118350983	-6.047722816467285
138.0063208937645	-7.531653106212616
141.6659554168582	-3.8720185831189156
160.1693541109562	14.63138011097908
137.76320556551218	-7.7747684344649315
131.91162721067667	-13.626346789300442
146.03152156621218	0.49354756623506546
143.08120956271887	-2.4567644372582436
