Ea=162.69206830114126	delta_Ea
151.13458264619112	-11.557485654950142
154.2122163772583	-8.479851923882961
161.53446581959724	-1.1576024815440178
182.34248811006546	19.650419808924198
153.19474334269762	-9.497324958443642
171.88152796775103	9.189459666609764
174.5709598660469	11.878891564905643
149.0363238081336	-13.65574449300766
173.34984125196934	10.657772950828075
156.4935109615326	-6.198557339608669
154.206761457026	-8.485306844115257
154.1890386492014	-8.503029651939869
164.25789047777653	1.5658221766352654
168.01572837680578	5.32366007566452
171.49127286672592	8.79920456558466
177.86112845689058	15.169060155749321
173.65479375422	10.962725453078747
187.1247619986534	24.43269369751215
175.17736522108316	12.485296919941902
153.85671169310808	-8.83535660803318
162.1864214465022	-0.5056468546390533
131.4522665515542	-31.23980174958706
152.2142997086048	-10.47776859253645
152.95156428962946	-9.740504011511803
176.42267635464668	13.73060805350542
174.60222218185663	11.91015388071537
166.40474221855402	3.712673917412758
110.46662394702435	-52.22544435411692
185.48027327656746	22.788204975426197
169.74949047714472	7.057422176003456
147.9077236801386	-14.784344621002674
163.8866515085101	1.1945832073688507
154.3011791035533	-8.390889197587967
148.02085481584072	-14.671213485300541
149.0184937864542	-13.673574514687061
171.89990489184856	9.207836590707302
168.84022860229015	6.1481603011488914
147.86831936240196	-14.8237489387393
181.22513964772224	18.533071346580982
177.2734098955989	14.581341594457626
192.8016221895814	30.109553888440132
160.35513824224472	-2.3369300588965416
138.90237931907177	-23.789688982069492
167.22158975154161	4.5295214504003525
178.84514705836773	16.153078757226467
131.47709335386753	-31.21497494727373
176.52169448137283	13.829626180231571
155.52818405628204	-7.163884244859219
149.4006972759962	-13.291371025145054
144.54144425690174	-18.15062404423952
142.97510531544685	-19.71696298569441
140.9918311908841	-21.70023711025715
192.11380711197853	29.42173881083727
190.00249110907316	27.3104228079319
166.89333061873913	4.201262317597866
152.58674016594887	-10.105328135192394
173.45606051385403	10.763992212712765
163.46612353622913	0.7740552350878716
147.0474422723055	-15.644626028835773
184.1147285401821	21.42266023904085
196.24842265993357	33.556354358792305
144.3599136173725	-18.33215468376875
178.0058531910181	15.313784889876842
176.44746144860983	13.755393147468567
164.9106476381421	2.218579337000847
155.000063277781	-7.692005023360252
182.4979673102498	19.805899009108543
139.36775332689285	-23.32431497424841
137.1660066023469	-25.526061698794365
156.1044872701168	-6.587581031024456
185.28168585896492	22.589617557823658
176.0446163713932	13.352548070251942
160.23746132850647	-2.4546069726347923
160.15944248437881	-2.5326258167624474
144.71373330801725	-17.978334993124008
148.74330189079046	-13.9487664103508
148.4356783926487	-14.256389908492565
177.05260146409273	14.36053316295147
139.85910238325596	-22.832965917885303
175.0183123871684	12.326244086027145
146.34541146457195	-16.34665683656931
172.47849426418543	9.786425963044167
156.67072919756174	-6.021339103579521
164.16303615272045	1.4709678515791893
180.81697932630777	18.12491102516651
185.43424005061388	22.742171749472618
173.72466523200274	11.032596930861473
169.33684495836496	6.6447766572237015
158.199611492455	-4.492456808686256
176.716772608459	14.024704307317734
178.1863395497203	15.494271248579025
148.98847372084856	-13.703594580292702
133.3035111874342	-29.388557113707066
169.38849916309118	6.696430861949921
167.09864547848701	4.406577177345753
164.8850280791521	2.192959778010845
148.66005659103394	-14.032011710107327
163.0871877297759	0.39511942863464355
142.844896055758	-19.847172245383263
172.27392806112766	9.5818597599864
180.32436644285917	17.63229814171791
144.4885753467679	-18.20349295437336
198.73204636573792	36.03997806459665
169.8423135727644	7.150245271623135
176.03893803805113	13.346869736909866
153.46685606241226	-9.225212238729
185.00975862145424	22.317690320312977
166.9441331103444	4.252064809203148
164.28084167838097	1.5887733772397041
175.53292435407639	12.840856052935123
176.25844578444958	13.566377483308315
158.6442072764039	-4.047861024737358
155.84303734451532	-6.849030956625938
181.21693878620863	18.524870485067368
184.94586522877216	22.2537969276309
183.105347558856	20.41327925771475
136.0950704589486	-26.59699784219265
151.8650909513235	-10.826977349817753
154.25156226754189	-8.440506033599377
