Hf	deltaHf ref=38.96893561830308
53.1142155802832	14.145279961980123
26.20512828067382	-12.76380733762926
46.404461109183615	7.435525490880536
78.28586136283644	39.316925744533364
23.962391498253567	-15.006544120049512
46.18768986064475	7.218754242341674
48.82361973244639	9.85468411414331
28.787796595776456	-10.181139022526622
50.02215892136388	11.053223303060804
6.710866782234518	-32.25806883606856
25.001460808113336	-13.967474810189742
28.206747819242594	-10.762187799060484
19.156603511417927	-19.81233210688515
52.43048980351392	13.461554185210844
47.921316775837624	8.952381157534546
54.37562071931694	15.406685101013863
43.60303889599396	4.634103277690883
66.00845534459455	27.039519726291473
20.34981812082202	-18.619117497481056
31.81572366378765	-7.153211954515427
53.70013686042745	14.73120124212437
-1.4467971199532599	-40.41573273825634
15.502525386162745	-23.466410232140333
13.811651682810918	-25.15728393549216
56.99432631914766	18.025390700844582
53.9983819770228	15.029446358719724
37.11859620361298	-1.8503394146900973
-19.513298955474454	-58.48223457377753
65.60209003107826	26.633154412775184
64.38697569419543	25.41804007589235
21.795293787278354	-17.173641831024725
40.353162687237784	1.384227068934706
35.32351036036067	-3.6454252579424065
28.112732768104763	-10.856202850198315
13.482637323164965	-25.486298295138113
36.2093739448124	-2.75956167349068
36.78685823452048	-2.182077383782598
28.53300088460179	-10.435934733701288
32.56356788049976	-6.405367737803317
57.045358334663035	18.076422716359957
78.10788361517422	39.13894799687114
31.6740746331148	-7.294860985188279
14.379419622093849	-24.58951599620923
51.045215628250446	12.076280009947368
52.84442213134986	13.87548651304678
-15.701389665334716	-54.670325283637794
51.94857048471255	12.97963486640947
30.51897362122196	-8.449961997081118
18.169450677467978	-20.7994849408351
32.939406210777236	-6.0295294075258425
34.45183509722352	-4.517100521079556
27.202994929468844	-11.765940688834235
42.646903484509096	3.677967866206018
70.59698214923498	31.628046530931897
50.4574536734022	11.48851805509912
9.97403192955477	-28.99490368874831
47.8651286462578	8.896193027954723
52.35403564476525	13.385100026462169
25.075506212410403	-13.893429405892675
58.70680972009228	19.737874101789203
79.55980894944747	40.590873331144394
23.231616249412184	-15.737319368890894
48.02538457463612	9.056448956333043
58.85452245086577	19.885586832562694
49.02485734391172	10.055921725608641
18.345876341738915	-20.623059276564163
57.776319717968875	18.807384099665796
20.575515156104814	-18.393420462198264
13.26744610016118	-25.701489518141898
38.854543084783074	-0.11439253352000378
76.73160102042544	37.762665402122366
48.31429399289715	9.34535837459407
34.22296348807373	-4.745972130229347
36.80044535806752	-2.168490260235558
14.53951247688616	-24.42942314141692
22.1134045465829	-16.85553107172018
25.445904582421065	-13.523031035882013
62.89942114596721	23.930485527664132
8.4250908551208	-30.54384476318228
46.76543071792781	7.796495099624735
26.719696931892543	-12.249238686410536
51.53517566288298	12.5662400445799
15.51745072726277	-23.45148489104031
43.08043524588953	4.111499627586454
68.62929528404726	29.66035966574418
51.10239122144645	12.133455603143375
53.603765851587525	14.634830233284447
41.687641586805114	2.718705968502036
39.146268487051714	0.17733286874863552
49.34002505058976	10.37108943228668
60.49198754123296	21.52305192292988
29.315210705639913	-9.653724912663165
2.6389726581642776	-36.3299629601388
40.459606907834825	1.4906712895317469
48.24158653473074	9.272650916427665
52.22053469172039	13.25159907341731
10.142579185938814	-28.826356432364264
42.5288532256987	3.5599176073956187
20.15026549695409	-18.818670121348987
