Hads	Hf	deltaHads ref=-2.5728865167475305	deltaHf ref=-222.85108752340716
-2.446126844501123	-224.61941504834752	0.12675967224640772	-1.7683275249403607
-2.441428399120923	-222.85403230647137	0.13145811762660742	-0.0029447830642084227
-2.4737321437569335	-227.60525525917498	0.09915437299059704	-4.7541677357678225
-2.6707048579701222	-217.06053131327673	-0.0978183412225917	5.790556210130433
-2.622312302235514	-226.1747042031939	-0.049425785487983376	-3.3236166797867384
-2.52925538335694	-233.54489683759914	0.04363113339059055	-10.69380931419198
-2.4885567853343673	-225.10378684532864	0.08432973141316324	-2.252699321921483
-2.403267288580537	-231.74166025692276	0.1696192281669937	-8.890572733515597
-2.579867149470374	-250.041707803731	-0.006980632722843438	-27.190620280323827
-2.7224476678529754	-249.2615464109843	-0.14956115110544488	-26.410458887577136
-2.4317919142195024	-225.93975665517564	0.1410946025280282	-3.0886691317684836
-2.661596945079509	-229.49665491293416	-0.08871042833197862	-6.645567389527002
-2.7333690351224504	-226.94231755374352	-0.1604825183749199	-4.091230030336362
-2.41682617663173	-209.57129560162593	0.1560603401158005	13.279791921781225
-2.6638576020486653	-222.96508329929748	-0.09097108530113474	-0.11399577589031651
-2.6140101173659787	-217.13273800151447	-0.04112360061844811	5.718349521892691
-2.6268184324726462	-238.07784726285027	-0.05393191572511569	-15.22675973944311
-2.623885264969431	-247.72437225585594	-0.050998748221900314	-24.87328473244878
-2.546485400001984	-232.81172458284252	0.02640111674554646	-9.960637059435356
-2.486711987585295	-247.11140338096573	0.08617452916223556	-24.260315857558567
-2.68752185581252	-211.5630140514059	-0.11463533906498924	11.288073472001258
-2.6559154525166377	-230.88785531378977	-0.08302893576910719	-8.036767790382612
-2.531421259685885	-221.97850165174714	0.04146525706164539	0.8725858716600214
-2.621295394259505	-228.95228730010655	-0.048408877511974424	-6.101199776699389
-2.656274907523766	-236.852586482059	-0.08338839077623561	-14.001498958651837
-2.645175229758024	-236.9187328817527	-0.07228871301049367	-14.067645358345544
-2.511150438163895	-201.76805382920284	0.06173607858363539	21.083033694204317
-2.308634403452743	-203.6193555749424	0.2642521132947877	19.231731948464756
-2.4733707216219045	-233.7728266955737	0.09951579512562603	-10.921739172166554
-2.4489068837137893	-227.98513079455802	0.12397963303374127	-5.134043271150858
-2.3788975380011834	-185.45846240910095	0.19398897874634713	37.39262511430621
-2.629807545337826	-245.01694647547123	-0.056921028590295464	-22.16585895206407
-2.5490583509090357	-229.71016935763748	0.023828165838494897	-6.859081834230324
-2.5936208688654006	-204.64361213434287	-0.020734352117870003	18.207475389064285
-2.576346098911017	-223.12302474958645	-0.0034595821634866297	-0.27193722617928984
-2.680386404157616	-238.59547234562496	-0.10749988741008565	-15.744384822217796
-2.733812386111822	-232.2912603140369	-0.16092586936429143	-9.440172790629731
-2.5006214474560693	-207.9744420800026	0.07226506929146126	14.876645443404556
-2.6950407965341583	-242.63514760102873	-0.12215427978662774	-19.784060077621575
