Hf	deltaHf ref=58.353600225426604
48.736878547585334	-9.61672167784127
53.55704992291864	-4.796550302507967
62.48982789628714	4.136227670860535
73.81246090300262	15.458860677576013
46.03657674136117	-12.31702348406543
53.80279673147449	-4.550803493952117
51.210839495722	-7.142760729704605
55.113915036174845	-3.239685189251759
64.27526434171956	5.921664116292959
75.75598429768503	17.402384072258428
35.31577359994914	-23.037826625477464
91.82910471363427	33.47550448820766
60.01831756888056	1.6647173434539582
57.87534117924294	-0.4782590461836662
51.71308275879416	-6.640517466632446
62.0202093058913	3.6666090804646956
72.64883935769173	14.295239132265124
84.55439766842098	26.20079744299437
44.978351220918526	-13.375249004508078
35.743953923029736	-22.609646302396868
75.0694338526671	16.7158336272405
57.18044304685533	-1.173157178571273
67.17352071550046	8.819920490073855
56.329714487081915	-2.0238857383446884
71.47568858715091	13.122088361724309
103.23862641388111	44.8850261884545
55.1737939043967	-3.1798063210299006
16.92015579473879	-41.433444430687814
75.72257975833851	17.368979532911908
59.52764144440222	1.174041218975617
24.467377618461583	-33.88622260696502
78.05703790852637	19.703437683099764
79.92041654438141	21.566816318954807
50.01628127790606	-8.337318947520544
54.152835836962154	-4.200764388464449
70.5882167257521	12.234616500325501
66.95147808275284	8.597877857326239
62.59634874950713	4.242748524080525
95.95566528727865	37.602065061852045
84.76139239893816	26.407792173511552
73.73566318827285	15.382062962846248
71.61501515194028	13.26141492651368
41.55409361262788	-16.799506612798723
63.55033968393106	5.196739458504453
54.850824254514706	-3.502775970911898
13.72807533256561	-44.625524892860994
46.53584845258662	-11.817751772839983
54.40619797030446	-3.9474022551221424
72.50208421904678	14.148483993620175
76.43439527712395	18.08079505169735
52.14825878595799	-6.2053414394686115
48.58542315944648	-9.768177065980126
85.98226812720965	27.628667901783047
70.31317364509302	11.959573419666413
71.57481552003516	13.221215294608555
84.34687521997036	25.993274994543754
84.71110396449582	26.357503739069216
80.71737381699201	22.363773591565405
35.89908011263539	-22.454520112791215
84.6206651191285	26.2670648937019
75.51308074894838	17.15948052352178
20.326276892905994	-38.02732333252061
56.998529510471386	-1.3550707149552181
62.60240214591683	4.248801920490223
56.3527192743684	-2.000880951058207
47.28210804551851	-11.071492179908091
71.98193564292957	13.628335417502967
31.32019731121615	-27.033402914210455
20.67086254562379	-37.68273767980281
4.881142047758445	-53.47245817766816
96.62927085009939	38.275670624672784
59.23196947370958	0.8783692482829792
43.25406083927079	-15.099539386155811
49.3504468727631	-9.003153352663503
30.043945574944487	-28.309654650482116
57.826290781617686	-0.5273094438089174
43.04149584428957	-15.312104381137033
31.93731777810605	-26.416282447320555
42.61431927442824	-15.739280950998364
