Hads	Hf	deltaHads ref=-0.3179989999625832	deltaHf ref=-422.51365789337416
-0.32981686940183863	-434.1758960455223	-0.011817869439255446	-11.66223815214812
-0.2468377691693604	-423.7548454852447	0.07116123079322278	-1.2411875918705277
-0.3112661399645731	-435.0419355969392	0.006732859998010099	-12.528277703565038
-0.3275820551207289	-411.316959048085	-0.009583055158145726	11.196698845289177
-0.3284154904540628	-425.64762039536896	-0.010416490491479635	-3.1339625019948016
-0.28439944685669616	-430.6905507011479	0.033599553105887026	-8.176892807773754
-0.0111050441628322	-395.68566211266534	0.306893955799751	26.827995780708818
-0.2843336506630294	-441.68971643720863	0.03366534929955378	-19.176058543834472
-0.2904315850464627	-443.31029440395986	0.02756741491612047	-20.7966365105857
-0.5899998293607496	-457.72393825701664	-0.2720008293981664	-35.21028036364248
-0.336783975828439	-432.12825265586883	-0.018784975865855813	-9.614594762494676
-0.6569553059525788	-458.644686347242	-0.3389563059899956	-36.13102845386783
-0.38678844668902457	-421.02417431871254	-0.06878944672644138	1.4894835746616195
-0.022963552153669298	-385.7589827052111	0.2950354478089139	36.75467518816305
-0.39764790108893067	-423.57964267148316	-0.07964890112634748	-1.065984778108998
-0.28467901394469664	-416.4585950471892	0.03331998601788655	6.055062846184967
-0.39481008518487215	-439.0871052870215	-0.07681108522228897	-16.573447393647314
-0.5190939565654844	-457.6632911132689	-0.20109495660290122	-35.149633219894724
0.10458239715080708	-393.0903412140796	0.42258139711339027	29.423316679294544
-0.2492876214091666	-439.38708330201496	0.06871137855341658	-16.8734254086408
-0.39631775254383683	-419.39082922909483	-0.07831875258125365	3.122828664279325
-0.6237711884314194	-452.1449474874355	-0.30577218846883625	-29.631289594061343
-0.31255312520079315	-426.1015662520652	0.005445874761790037	-3.5879083586910383
-0.28323108155746013	-421.05174044646776	0.034767918405123055	1.4619174469063978
-0.5914805514621548	-452.5005162723041	-0.27348155149957165	-29.986858378929924
-0.4381654308526777	-437.9669011152185	-0.12016643089009449	-15.453243221844332
-0.15945572842611	-393.24025326430655	0.15854327153647318	29.273404629067613
0.011744853865820915	-383.4552950697833	0.3297438538284041	39.05836282359087
-0.14544156979536638	-421.42819467041676	0.1725574301672168	1.0854632229574008
-0.37133621744578704	-433.03819339388775	-0.05333721748320386	-10.524535500513593
0.2174578751437366	-355.1861975460235	0.5354568751063198	67.32746034735067
-0.5400424160761759	-462.71104069485926	-0.22204341611359268	-40.197382801485105
-0.5212748749763705	-446.41374704718606	-0.2032758750137873	-23.900089153811905
-0.32113518560072407	-407.5356021777953	-0.003136185638140887	14.978055715578876
-0.3165376615943387	-423.26806002594014	0.0014613383682444692	-0.7544021325659855
-0.26626672834390774	-424.0279570514505	0.05173227161867544	-1.5142991580763692
-0.4498112355940975	-429.6174550770794	-0.13181223563151434	-7.10379718370524
-0.317989599541761	-414.13654859540065	9.40042082220316e-06	8.377109297973504
-0.25603645452065393	-422.9017645475113	0.06196254544192925	-0.3881066541371183
-0.4679479799233377	-461.9554129879174	-0.1499489799607545	-39.441755094543225
-0.37309203133918345	-415.2283453628023	-0.055093031376600266	7.285312530571844
-0.5226111270021647	-438.87403189582886	-0.20461212703958154	-16.360374002454705
-0.1041580582386814	-392.4985528292274	0.21384094172390178	30.01510506414678
-0.21918778104009107	-435.8197671810697	0.09881121892249212	-13.306109287695563
-0.21602559718303382	-416.8738531748315	0.10197340277954936	5.639804718542678
0.09456587774911895	-388.5733885464024	0.41256487771170214	33.940269346971775
-0.19666430511279032	-409.63829286675013	0.12133469484979287	12.875365026624024
-0.19800315413158387	-409.8230241741856	0.11999584583099931	12.690633719188554
-0.5931150171672925	-453.74288053008104	-0.27511601720470935	-31.22922263670688
-0.5657073904876597	-448.4485744789004	-0.24770839052507654	-25.934916585526253
-0.5943676586612128	-448.3235139587163	-0.2763686586986296	-25.80985606534216
-0.3004969684407115	-421.4082098821652	0.017502031521871686	1.1054480112089777
-0.29057808517245576	-432.18399010753916	0.027420914790127426	-9.670332214165
-0.2860067292349413	-436.45930863441754	0.03199227072764188	-13.94565074104338
-0.5420263792620972	-437.09283383444483	-0.224027379299514	-14.579175941070673
-0.48340260452823713	-423.2486686829011	-0.16540360456565395	-0.7350107895269389
-0.5116850869380869	-434.6911432472921	-0.1936860869755037	-12.177485353917916
-0.356445029261522	-418.1188634044285	-0.03844602929893881	4.394794488945649
-0.3586573824286461	-418.0036293412285	-0.0406583824660629	4.510028552145684
-0.5689613332506269	-441.25263530998285	-0.25096233328804374	-18.73897741660869
-0.2443353547132574	-413.98231441536643	0.07366364524932578	8.531343478007727
0.054885269375517964	-378.9643064893293	0.37288426933810115	43.54935140404484
-0.3234932842897251	-434.65852514126993	-0.005494284327141941	-12.144867247895775
-0.4247226424049586	-434.1688755815505	-0.10672364244237542	-11.655217688176322
-0.3744917951989919	-428.9932997530572	-0.05649279523640871	-6.479641859683056
-0.15832294896245003	-388.73010664339535	0.15967605100013316	33.783551249978814
-0.37317883723881096	-456.1734727475262	-0.05517983727622777	-33.659814854152046
-0.6384339460055344	-460.1110352112626	-0.3204349460429512	-37.59737731788846
-0.22691705968463793	-409.65484227620664	0.09108194027794525	12.858815617167522
0.1801929462235421	-365.78839129245705	0.4981919461861253	56.72526660091711
-0.497685264039319	-458.31296748180034	-0.17968626407673582	-35.79930958842618
-0.2395698587060906	-415.13816175980634	0.07842914125649258	7.375496133567822
-0.02942833525594324	-405.3192599184066	0.28857066470663995	17.194397974967558
-0.3739687362103723	-431.969718461327	-0.055969736247789115	-9.456060567952818
-0.41317033604718745	-430.6944032005153	-0.09517133608460426	-8.180745307141137
-0.272457666345872	-432.0657338823325	0.0455413336167112	-9.552075988958336
-0.18694713234435767	-414.23717785738137	0.13105186761822551	8.27648003599279
0.013119261711835861	-380.2464608962897	0.33111826167441905	42.267196997084454
-0.24886014818912372	-417.37237841141297	0.06913885177345946	5.141279481961192
-0.341600748593919	-435.71566410839733	-0.023601748631335795	-13.202006215023175
-0.30716913694050163	-412.0041427555657	0.010829863022081554	10.509515137808478
-0.570740241499152	-453.9347803672914	-0.25274124153656885	-31.42112247391725
-0.4853772121714428	-464.08418290327484	-0.16737821220885962	-41.57052500990068
-0.5468840835965239	-446.3752268406341	-0.22888508363394067	-23.86156894725997
-0.544977304758504	-440.97793976226035	-0.22697830479592085	-18.46428186888619
-0.3033601068891585	-431.7366415490729	0.014638893073424697	-9.222983655698727
-0.37320215004729107	-424.04299492206553	-0.055203150084707886	-1.5293370286913728
-0.5191076961345971	-439.16380603722575	-0.20110869617201388	-16.650148143851595
-0.14267159963492304	-412.75912504853613	0.17532740032766014	9.754532844838025
-0.21018631715560332	-439.8295595897416	0.10781268280697986	-17.31590169636746
-0.36389797989977524	-430.1930450396717	-0.04589897993719205	-7.679387146297529
-0.16800656006671488	-382.5996211883724	0.1499924398958683	39.91403670500176
-0.30525203939760104	-426.6474593204884	0.012746960564982146	-4.133801427114236
-0.09526379179442301	-397.01590424473784	0.22273520816816017	25.49775364863632
-0.07324558857362717	-409.0850816501806	0.244753411388956	13.428576243193561
-0.5051984713063575	-460.2652896578508	-0.18719947134377435	-37.751631764476656
-0.27681677060900256	-411.05689307371483	0.041182229353580624	11.456764819659327
-0.2510234395158477	-407.0725345247221	0.06697556044673547	15.441123368652086
-0.3879273798665963	-432.1346494485563	-0.06992837990401313	-9.620991555182115
-0.037724704772699624	-391.8136773152146	0.28027429518988356	30.69998057815957
-0.729650944180321	-461.93109538202975	-0.41165194421773776	-39.417437488655594
-0.018736799946054816	-405.5084731013957	0.29926220001652837	17.00518479197848
-0.21623888571048155	-408.4817314464227	0.10176011425210163	14.031926446951445
-0.20326377713354304	-402.68772674265784	0.11473522282904014	19.825931150716315
-0.33808959828456864	-404.94454310268765	-0.020090598321985453	17.569114790686513
-0.35757201694650576	-416.63335916067933	-0.03957301698392257	5.8802987326948255
-0.6524138755048625	-454.2403710173316	-0.33441487554227933	-31.72671312395744
-0.21325105096912012	-391.22656326374334	0.10474794899346307	31.287094629630815
-0.30630119098350406	-418.7326746481776	0.011697808979079127	3.7809832451965804
-0.39291581010911614	-427.31052320329127	-0.07491681014653295	-4.796865309917109
-0.6836491878493689	-484.4806845694586	-0.3656501878867857	-61.96702667608446
-0.21208446548553184	-405.20842043261126	0.10591453447705135	17.305237460762896
-0.5999833287205547	-464.35513045095774	-0.2819843287579715	-41.841472557583586
-0.4315735167474486	-425.4583907261145	-0.11357451678486541	-2.9447328327403284
-0.4464342465507798	-428.2628758348803	-0.1284352465881966	-5.749217941506117
-0.12176811543758959	-412.05296541715364	0.1962308845249936	10.460692476220515
-0.506836217828095	-453.43828194714644	-0.18883721786551178	-30.924624053772277
0.048688144772313535	-386.88209862310697	0.3666871447348967	35.63155927026719
-0.46953725948696956	-436.0418806162557	-0.15153825952438638	-13.528222722881537
-0.3626195094548166	-428.4746694351581	-0.044620509492233396	-5.961011541783932
-0.24047900177538395	-427.08222195775164	0.07751999818719923	-4.568564064377483
-0.4339521768852137	-418.1038745357354	-0.11595317692263052	4.409783357638787
-0.45449119445402175	-440.18249396278384	-0.13649219449143857	-17.66883606940968
-0.15325625764671713	-420.29275002133267	0.16474274231586605	2.2209078720414936
-0.42835561151150614	-433.59565872460104	-0.11035661154892296	-11.082000831226878
-0.5461401564534754	-441.1274218873248	-0.22814115649089217	-18.613763993950613
-0.05365642055403441	-405.49758691897665	0.2643425794085488	17.016070974397508
-0.3709837573696859	-429.72772399038473	-0.052984757407102734	-7.214066097010573
-0.5010009444085881	-432.2089214548728	-0.18300194444600493	-9.69526356149862
-0.3102676870767027	-404.74590378287274	0.00773131288588047	17.767754110501414
-0.19395379890920594	-406.5471943922387	0.12404520105337724	15.966463501135479
-0.11960471177008003	-375.95997109203694	0.19839428819250315	46.55368680133722
-0.28923361795023084	-422.90734694728167	0.028765382012352347	-0.39368905390750797
-0.21698356955312192	-398.6937525709675	0.10101543040946126	23.81990532240667
-0.5913162804208696	-427.21382323126653	-0.2733172804582864	-4.700165337892372
-0.4559924706700258	-445.8556201502402	-0.1379934707074426	-23.341962256866054
-0.09296855417778715	-416.3807701015739	0.22503044578479603	6.132887791800272
-0.2104596981080249	-419.32979045430693	0.10753930185455829	3.183867439067228
-0.3978095873608254	-438.50051287896537	-0.0798105873982422	-15.986854985591208
-0.35128519911086187	-429.3544693818194	-0.03328619914827868	-6.84081148844524
-0.18056347011588514	-405.65400569090383	0.13743552984669805	16.85965220247033
-0.5028555550379679	-459.29737334179356	-0.18485655507538468	-36.7837154484194
-0.3914781480561942	-425.98719638391714	-0.073479148093611	-3.4735384905429783
-0.37003911018837243	-415.05758606052643	-0.05204011022578925	7.4560718328477265
-0.5633883493137546	-451.14516491717313	-0.2453893493511714	-28.631507023798974
-0.8336140481987968	-468.5221324878892	-0.5156150482362136	-46.008474594515064
-0.5578828327707015	-439.4566246933955	-0.2398838328081183	-16.94296680002134
-0.0655769282602705	-402.32433122596535	0.2524220717023127	20.189326667408807
-0.28608342370716855	-423.5086172897971	0.031915576255414635	-0.994959396422928
-0.4488425451563671	-454.7240940216648	-0.13084354519378394	-32.21043612829067
-0.2641944592469372	-422.31060636744496	0.053804540715646	0.2030515259291974
-0.2740270596696064	-409.36319492885565	0.0439719402929768	13.15046296451851
-0.193371964560356	-400.41280077471737	0.1246270354022272	22.10085711865679
-0.17394519044319168	-396.974367157313	0.1440538095193915	25.53929073606116
-0.3527790271327831	-444.1001306746424	-0.0347800271701999	-21.58647278126824
-0.35207790962886065	-437.8918009856324	-0.03407890966627747	-15.378143092258256
-0.11745571752544492	-411.87597358095536	0.20054328243713826	10.637684312418799
-0.36598226672504097	-409.3577697103566	-0.04798326676245779	13.155888183017566
0.0040796647081151605	-404.02718248938004	0.32207866467069834	18.48647540399412
0.04387265507830307	-387.82727601605694	0.36187165504088625	34.68638187731722
-0.17433308926410973	-421.0133424279212	0.14366591069847345	1.5003154654529567
-0.3611279902397655	-438.6399918210048	-0.04312899027718231	-16.12633392763064
-0.2627338121528737	-399.24599656518916	0.05526518780970946	23.267661328185
-0.37287231226218864	-442.54879800967694	-0.05487331229960546	-20.035140116302784
-0.34634148568147793	-431.87681912994566	-0.02834248571889475	-9.3631612365715
-0.21669859514804557	-411.1566261037282	0.10130040481453761	11.357031789645987
-0.3190711203496903	-423.97119313638126	-0.0010721203871071339	-1.4575352430071007
-0.6194755160831846	-441.2688545110566	-0.30147651612060145	-18.75519661768243
-0.37534439348382875	-432.10526292054215	-0.05734539352124557	-9.591605027167986
-0.4030484858667478	-431.5976319039957	-0.08504948590416461	-9.083974010621546
-0.27185954060405493	-413.16948593804534	0.046139459358528256	9.344171955328818
-0.2766014077933505	-410.6806004803817	0.041397592169232666	11.833057412992446
-0.3230041908682324	-437.01558477525884	-0.005005190905649215	-14.501926881884685
-0.2547955369227566	-419.6219135334453	0.0632034630398266	2.8917443599288504
-0.32307242654496804	-408.1238397903676	-0.0050734265823848546	14.389818103006576
-0.26211237849202007	-414.4622522042707	0.055886621470563114	8.051405689103433
-0.05034862458705902	-405.0601645970858	0.26765037537552416	17.453493296288343
-0.3114969303715043	-428.3170960802544	0.006502069591078907	-5.803438186880214
-0.4668962159194052	-406.691733247117	-0.14889721595682204	15.821924646257173
-0.40040118782781065	-425.9046964255087	-0.08240218786522746	-3.39103853213453
-0.15779560781084	-405.47812785479096	0.16020339215174317	17.035530038583204
-0.3923903245013207	-431.52795404187935	-0.07439132453873754	-9.014296148505196
-0.10526749538257718	-391.5377589094801	0.212731504580006	30.97589898389407
-0.09314969496335834	-386.17028429399954	0.22484930499922484	36.343373599374615
-0.1567037688801065	-393.2420157338279	0.16129523108247668	29.271642159546275
-0.21471496927551925	-421.77549788694336	0.10328403068706393	0.7381600064308032
-0.42028392100473866	-424.61490331274274	-0.10228492104215547	-2.1012454193685812
-0.0960534400655888	-397.72438534738967	0.22194555989699438	24.78927254598449
-0.5162702446687035	-420.0481896272749	-0.19827124470612034	2.465468266099265
-0.027068431838415563	-405.8049725573346	0.2909305681241676	16.708685336039537
-0.07519377511925995	-392.15890723799083	0.24280522484332323	30.354750655383327
-0.28299078688723966	-427.7529225109851	0.03500821307534352	-5.2392646176109565
-0.4902464079204947	-451.1295475571101	-0.1722474079579115	-28.615889663735913
-0.1912814172101207	-396.26603028053137	0.12671758275246248	26.24762761284279
-0.49891736841527745	-444.33163096248495	-0.18091836845269427	-21.817973069110792
-0.11614763777470216	-406.97063164916784	0.20185136218788102	15.543026244206317
-0.3140316184144467	-408.05096381436664	0.003967381548136473	14.46269407900752
-0.1223439879831858	-398.4322856258901	0.1956550119793974	24.081372267484085
-0.5604589551803656	-433.0037311130453	-0.2424599552177824	-10.49007321967116
-0.47057154431240633	-445.2752960295815	-0.15257254434982315	-22.761638136207353
