Hads	Hf	deltaHads ref=-0.05145578569499776	deltaHf ref=-4.964712861311389
-0.06863976526074111	-6.62270913343168	-0.017183979565743357	-1.6579962721202914
-0.03819287859369069	-3.6850412696129826	0.013262907101307064	1.2796715916984063
-0.04277844907483086	-4.127480037491963	0.008677336620166898	0.8372328238194262
-0.04464162542717531	-4.307248607475654	0.0068141602678224444	0.6574642538357347
-0.05727634736103937	-5.526309753904847	-0.005820561666041613	-0.5615968925934585
-0.027979248552583158	-2.6995791755862175	0.0234765371424146	2.2651336857251714
0.031164113141130656	3.0068680777070154	0.08261989883612841	7.971580939018404
-0.04524218768347055	-4.365193861994893	0.0062135980115272105	0.599518999316496
-0.03415986348409206	-3.2959158064459406	0.0172959222109057	1.6687970548654483
-0.1304574241512455	-12.587185947672644	-0.07900163845624775	-7.622473086361255
-0.0818229780998081	-7.894691420863149	-0.03036719240481034	-2.92997855955176
-0.10833071416709572	-10.452290334907483	-0.05687492847209796	-5.487577473596094
-0.07646228186786175	-7.377464644546057	-0.02500649617286399	-2.4127517832346683
0.0093270224169828	0.899916379375112	0.06078280811198056	5.864629240686501
-0.08279061072971672	-7.988053454763624	-0.03133482503471896	-3.023340593452235
-0.013495934195816517	-1.3021565889213351	0.03795985149918124	3.662556272390054
-0.05047650571214035	-4.870227031991943	0.0009792799828574061	0.09448582931944571
-0.06884193111909553	-6.642215102601396	-0.017386145424097776	-1.6775022412900071
0.07839128980413079	7.563582217945746	0.12984707549912855	12.528295079257134
-0.042444594437256455	-4.095268069587082	0.009011191257741302	0.8694447917243071
-0.04214006767142564	-4.0658858081073115	0.009315718023572117	0.8988270532040774
-0.1501053727697581	-14.482918270668687	-0.09864958707476035	-9.518205409357298
-0.04541964491363615	-4.382315818446766	0.00603614078136161	0.5823970428646232
-0.04119711712701246	-3.9749052243826157	0.010258668567985296	0.9898076369287732
-0.13166282582096756	-12.703489128263898	-0.0802070401259698	-7.7387762669525095
-0.07601313310442492	-7.334128526114083	-0.024557347409427166	-2.369415664802694
-0.011586187640205026	-1.1178946953180993	0.03986959805479273	3.8468181659932896
-0.0019005025387741625	-0.18337136646853675	0.049555283156223595	4.781341494842852
0.028744169569108635	2.773379822379509	0.08019995526410639	7.738092683690898
-0.07491250173188746	-7.227934108404576	-0.023456716036889702	-2.2632212470931874
