Hads	Hf	deltaHads ref=-3.3612190000130795	deltaHf ref=-221.067748905268
-3.2411378150573	-226.33763319657805	0.12008118495577946	-5.269884291310063
-3.170236754871439	-214.98169253448572	0.1909822451416403	6.0860563707822735
-3.181477247388102	-218.2278849926953	0.17974175262497738	2.839863912572696
-3.3373596306773834	-200.2494947360671	0.0238593693356961	20.818254169200884
-3.536299789964687	-240.52097735955113	-0.17508078995160758	-19.453228454283135
-3.2708994757267646	-226.97558922044476	0.09031952428631485	-5.90784031517677
-3.4418365975725465	-237.85916907143633	-0.08061759755946696	-16.791420166168336
-3.2590042573283426	-241.0494069389627	0.10221474268473685	-19.981658033694714
-3.2724305039737374	-238.3355996638747	0.08878849603934214	-17.2678507586067
-3.601547348720487	-255.24847479681893	-0.2403283487074077	-34.180725891550935
-3.2033105024020188	-224.6420397805034	0.15790849761106074	-3.5742908752354197
-3.381884221220389	-219.05531586312622	-0.020665221207309514	2.0124330421417653
-3.6769097429933026	-241.21450938455843	-0.31569074298022315	-20.146760479290435
-3.217953484854661	-204.10917108279392	0.14326551515841857	16.95857782247407
-3.4586582586052828	-222.95495534640548	-0.09743925859220326	-1.8872064411374936
-3.34460670867702	-211.08422523591884	0.01661229133605957	9.983523669349154
-3.445166123274248	-236.9500629017245	-0.0839471232611686	-15.882313996456503
-3.2521739288931713	-225.41012093523938	0.10904507111990824	-4.342372029971386
-3.3743239129544236	-233.59029598147805	-0.013104912941344082	-12.52254707621006
-3.397313353489153	-260.36760851401107	-0.03609435347607359	-39.29985960874308
-3.460873963951599	-206.71906356288298	-0.09965496393851936	14.34868534238501
-3.505120334972162	-236.3015737278493	-0.1439013349590823	-15.233824822581312
-3.382540603808593	-225.4223713904904	-0.02132160379551351	-4.354622485222421
-3.53020014683716	-240.33135331051892	-0.1689811468240805	-19.26360440525093
-3.2965081381844357	-218.10723558170156	0.06471086182864383	2.960513323566431
-3.312631892855279	-216.52786258840365	0.04858710715780035	4.53988631686434
-3.1949226320139132	-187.28230932089997	0.16629636799916625	33.78543958436802
-3.337888755078893	-225.02742434388472	0.02333024493418634	-3.9596754386167277
-3.1580959541606717	-217.36932268668062	0.2031230458524078	3.6984262185873717
-3.172944112215191	-217.60714334753584	0.18827488779788837	3.4606055577321513
-3.23603868461214	-192.08568225693267	0.12518031540093943	28.98206664833532
-3.2565688175382093	-226.7565471808116	0.10465018247487023	-5.688798275543604
-3.3423305677133612	-226.00189403865295	0.01888843229971826	-4.934145133384959
-3.4862333319615573	-214.9533865021345	-0.12501433194847777	6.114362403133498
-3.4644983944599517	-232.71974381498143	-0.10327939444687217	-11.651994909713437
-3.4544338693958707	-231.46034348366533	-0.09321486938279122	-10.392594578397336
-3.57465636782581	-233.4615678020607	-0.21343736781273037	-12.393818896792709
-3.2533652713755146	-203.58833302066392	0.10785372863756493	17.479415884604066
-3.4064049404114485	-225.7574047195294	-0.045185940398368984	-4.689655814261414
-3.365703892253805	-252.77142262794354	-0.004484892240725458	-31.703673722675546
-3.225866460823454	-191.71769608204892	0.13535253918962553	29.350052823219073
-3.4766385062830523	-223.6805270645467	-0.11541950626997277	-2.6127781592787187
-3.466489116777666	-226.07790937737855	-0.10527011676458642	-5.010160472110556
-3.066359663673211	-220.7619133888665	0.2948593363398686	0.305835516401487
